netst,stla,stlo,geometry,index_right,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,NA_L3KEY,NA_L2KEY,NA_L1KEY,Shape_Leng,Shape_Area
TA.ELFS,40.618301,-120.727898,POINT (-120.727898 40.618301),1131,6.2.12,Sierra Nevada,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.12  Sierra Nevada,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1731355.29084,52706853090.9
TA.F03A,45.930599,-123.559097,POINT (-123.559097 45.930599),1515,7.1.8,Coast Range,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.8  Coast Range,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,4695300.85742,52253838739.3
TA.F04A,45.932499,-122.419296,POINT (-122.419296 45.932499),2544,6.2.7,Cascades,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.7  Cascades,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2397516.34339,44747444404.9
TA.F05A,45.8839,-121.458801,POINT (-121.458801 45.8839),2545,6.2.8,Eastern Cascades Slopes and Foothills,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.8  Eastern Cascades Slopes and Foothills,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,2794959.13771,56079036225.5
TA.F06A,45.766399,-120.7817,POINT (-120.7817 45.766399),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.F07A,45.8951,-119.927803,POINT (-119.927803 45.8951),60,10.1.2,Columbia Plateau,10.1,COLD DESERTS,10,NORTH AMERICAN DESERTS,10.1.2  Columbia Plateau,10.1  COLD DESERTS,10  NORTH AMERICAN DESERTS,2889543.18764,81830013715.6
TA.F11A,45.888302,-116.1549,POINT (-116.1549 45.888302),1139,6.2.15,Idaho Batholith,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.15  Idaho Batholith,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,1829033.88215,60150665488.2
TA.F14A,45.812199,-113.369904,POINT (-113.369904 45.812199),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.F16A,45.784302,-111.626198,POINT (-111.626198 45.784302),1124,6.2.10,Middle Rockies,6.2,WESTERN CORDILLERA,6,NORTHWESTERN FORESTED MOUNTAINS,6.2.10  Middle Rockies,6.2  WESTERN CORDILLERA,6  NORTHWESTERN FORESTED MOUNTAINS,3915892.32608,133877982186.0
TA.G03A,45.3153,-123.281097,POINT (-123.281097 45.3153),1516,7.1.9,Willamette Valley,7.1,MARINE WEST COAST FOREST,7,MARINE WEST COAST FOREST,7.1.9  Willamette Valley,7.1  MARINE WEST COAST FOREST,7  MARINE WEST COAST FOREST,1128580.42889,14851953389.1
