netst,stla,stlo,geometry,index_right,STATE,ORIG_LABEL,SGMC_LABEL,UNIT_LINK,UNIT_NAME,AGE_MIN,AGE_MAX,MAJOR1,MAJOR2,MAJOR3,MINOR1,MINOR2,MINOR3,MINOR4,MINOR5,INCIDENTAL,INDETERMIN,REF_ID,REFERENCE,GENERALIZE,DIGITAL_UR,NGMDB1,NGMDB2,NGMDB3,RuleID,FIPS_C
CI.CHR,34.729019,-119.392693,POINT (-119.392693 34.729019),4675,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.CIA,33.401897,-118.415024,POINT (-118.415024 33.401897),8881,CA,um,um3;0,CAum3;0,"Ultramafic rocks, chiefly Mesozoic, unit 3 (Coast Ranges and Western Klamath Mountains)",Phanerozoic - Mesozoic - Jurassic - Late-Jurassic,Phanerozoic - Mesozoic - Jurassic - Middle-Jurassic,Serpentinite,,,Peridotite,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Metamorphic, serpentinite",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,17,06
CI.CJM,34.271172,-117.424477,POINT (-117.424477 34.271172),3955,CA,pCc,pCAc;0,CApCAc;0,Precambrian igneous and metamorphic rock complex,Phanerozoic - Cenozoic - Tertiary-Neogene - Miocene,preCambrian-Proterozoic - Paleoproterozoic,Gneiss,,,Granitic,,,,,"Anorthosite, Syenite, Diorite, Amphibolite",,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Metamorphic, gneiss",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,9,06
CI.CJV2,34.529781,-118.144501,POINT (-118.144501 34.529781),2097,CA,grpC,grpCA2;0,CAgrpCA2;0,"Precambrian granitic rocks, unit 2, (San Gabriel Mountains Anorthosite)",preCambrian-Proterozoic - Mesoproterozoic - Ectasian,preCambrian-Proterozoic - Mesoproterozoic - Ectasian,Anorthosite,Gabbro,,Syenite,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Igneous, intrusive",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,1,06
CI.CKP,33.555069,-114.890404,POINT (-114.890404 33.555069),4467,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.CLO,34.220379,-119.008911,POINT (-119.008911 34.220379),5520,CA,Qoa,Qoa;0,CAQoa;0,Older Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.CLT,34.092838,-117.316872,POINT (-117.316872 34.092838),4499,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
CI.CPT2,33.341831,-117.32502,POINT (-117.32502 33.341831),343,CA,grMz,grMZ2;0,CAgrMZ2;0,"Mesozoic granitic rocks, unit 2 (Peninsular Ranges)",Phanerozoic - Mesozoic - Cretaceous - Late-Cretaceous,Phanerozoic - Mesozoic - Jurassic - Middle-Jurassic,Tonalite,,,Quartz-diorite,Granodiorite,Quartz-monzonite,,,"Granite, Pegmatite",,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Igneous, intrusive",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,1,06
CI.CRG,35.242199,-119.724861,POINT (-119.724861 35.242199),2873,CA,M,MI;0,CAMI;0,Miocene marine rocks,Phanerozoic - Cenozoic - Tertiary-Neogene - Pliocene,Phanerozoic - Cenozoic - Tertiary-Paleogene - Oligocene,Sandstone,Mudstone,,Siltstone,Conglomerate,,,,Gypsum,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Sedimentary, clastic",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,23,06
CI.CRR,32.886822,-115.969177,POINT (-115.969177 32.886822),4467,CA,Q,Q;0,CAQ;0,Quaternary alluvium and marine deposits,Phanerozoic - Cenozoic - Quaternary - Holocene,Phanerozoic - Cenozoic - Quaternary - Pleistocene,Coarse-detrital,,,Fine-detrital,,,,,,,CA294,"Jennings, C.W., with modifications by Gutierrez, C., Bryant, W., Saucedo, G., and Wills, C., 2010, Geologic map of California, Version 2.0 (California Geological Survey 150th Anniversary Edition), Department of Conservation, California Geological Survey:","Unconsolidated, undifferentiated",ftp://ftp.consrv.ca.gov/pub/dmg/rgmp/Published_GIS_Data/GDM_002_GMC_750k_v2/,https://ngmdb.usgs.gov/Prodesc/proddesc_96750.htm,,,29,06
